review_business_price_range_detail,review_rating,review_business_number_rating,review_business_price_range,review_content,review_business_rating,review_business_reviews_count,review_business_name
"
                        $11-30
                    ",5.0,,2,"Amazing food, never expected to find such a good italian place in middle of k-town! Awesome service, pricing, food!",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,Lobster with Pasta and Salad,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"I dont understand this place! A Italian restaurant with amazing service in strip mall in K Town with dirt cheap prices. After reviewing the menu I though I was in for a shitty meal , $8 for pasta?? Man o man was I pleasantly surprised, this was good, authentic stuff. Plates I easily pay $25+ for on Beverly Bl/Third St, etc.",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"For the quality of food, variety of choices, and at this price point, Anima is a hit. ",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,Amazing deliciousness! Sit at the bar to watch where the magic happens! Yumm! Fresh pastas and pizza!,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"This is the best Italian food I've had in Los Angeles! Northern style - so rich!! Family owned business that is always warm and happy to have you. Excellent service, the owner always remembers me when I come. You gotta go!",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"Went here totally by accident(we got miffed at the next door Korean restaurant and walked out)but were very surprised at the quality of the food,tried the ceasar salad(decent),Zuppa del Giorno,coliflower cream soup(good),mushroom pasta(so,so),14""Emilia pizza(arugala and prosciutto,very good)also its reasonably priced,will recommend it to friends!!!",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"I'm a fan. We ordered the linguine w clams and a pizza here. The linguine was great. The pasta was cooked a near perfect al dente for me. Quite enjoyable. Couple of the clams were not completely cleaned (bit on a couple pieces of sand here and there), but otherwise the dish was great and more importantly, the service and price were spot on! We were the 1st people there on open on a saturday afternoon. ",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"I can only talk to their lunch service, which has always been excellent I've been here for five times always good selection on the menu.fairly priced great service with a wonderful ambience.",4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,This is my second time to Anima and this authentic Italian restaurant has become my favorite Italian restaurant in Koreatown. It does not fail me everytime. I love the open kitchen and this time I got a chance to sit by the open kitchen and watched Chef Guiseppe and his crew prepare the food. I was drooling over every dish. I could see the ingredients they use is fresh and each dish is artisan. I wanted to order every pizza that was put Into the oven. They moved really fast pace too. I love how all their staffs were so friendly and they offer you either regular tap water or tap water with cucumber. How thoughtful is that? I also loved how clean the bathroom was..I judge every restaurant by the cleanliness of the bathroom. If you want an authentic Italian restaurant that's fairly priced you have to give Anima a try. Who knew there is such a yummy pizza and pasta place in KTown???,4.5,201.0,"
        Anima Pizza & Pasta
    "
"
                        $31-60
                    ",5.0,,2,One of my favorite Italian restaurants in Los Angeles. This place is amazing.,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,My wife saw Giada come here for the Lasagna Verde and she wanted to come for her birthday. I made reservations for a saturday night. Its located near the farmers market and across the street from Milk. Its a cozy little Italian place that serves amazing food and the staff is awesome. I can't wait to come here again.,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,Small but Great place to go to for couples or four people. Great service and valet parking.,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,"If you are trying to impress someone with amazing Italian food, Angelini won't let you down. A date brought me here recently for dinner and it was fantastic. Be sure to make reservations, because the place is tiny AND quite popular. You also should be comfortable getting cozy with your neighbors, because the tables are VERY close together. This worked out well for us, since the two gentleman having a business/platonic dinner next to us were very entertaining and friendly. They initially assumed we were there for a special occasion (maybe even a proposal, haha!!), but soon realized it was our FIRST date. They congratulated my date on his excellent taste, and even shared the ($$$$) wine they had brought with them! Anyway, on to the food...",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,My 300th review goes to the BEST ITALIAN food I've had to date. ,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",3.0,,2,"Hmm really mixed feelings here. We got a gift certificate here from the inlaws. Have heard amazing things and it's always touted as the best Italian restaurant in town, so we were super excited to come. Scored a last minute prime time reservation on Sunday!",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",2.0,,2,Pretty disappointed with my experience. I had heard such great things and it really was a bust. ,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,"This place has been on my wanna try list for a while but too many options in fair fax/Beverly Hills kept me from stopping by. It's in the midst of DineLA all the reservations were taken till next week. At times I'm obstinate, nothing could prevent me if an idea popped to my mind. It was a spontaneous decision on Thursday and i got my spot at 6PM. ",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,"Finally I tried Angelini after being bookmarked for so long! My gf's and I decided to do an early Christmas/Holiday dinner and secret santa gift exchange so we thought Angelini would be perfect. We made a reservation for 6:30 and it was pretty packed. Parking is street or valet. I believe the valet was $5. The inside is pretty small and cozy. The menu is pretty big from pastas, pizzas, entrees, appetizers etc. We already knew what we wanted since I really wanted to try the 2 items that I saw awhile back from Food Network :) We did family style as we do best. ",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,"This was a great meal, no doubt. Portions are on the lighter side, so if you're splitting a bunch of dishes (recommended), make sure you order amply. Two of us came here on the hungry side, shared four dishes plus dessert and that seemed to be the ideal amount of food.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,Suzie Q's Fun Facts:,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,"I have been coming to Angelini for years and finally thought it time to do a review. In my opinion, the best Italian food in the city. Have never had a bad dish. Love the Porchetta, the Saturday night special and the Veal Shank which is the Friday night special. For fish, hard to beat the Dover sole or Salt encrusted branzino. When on the menu, the spaghetti with black truffles and sausage is also fabulous but not always available. All the appetizers are also good. Love the Octopus, Bone Marrow and the chicken liver. ",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",3.0,,2,"Food: 3.5 stars. Angelini Osteria falls into the realm of an LA ""it-place"" to dine. I think that it's lost some of its emphasis on not-to-miss Italian food. Their green lasagna was mediocre- very dry (the bechamel sauce was chunky and dry) and sad-looking. The bolognese was spot on though.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,"Walking in you see a fairly plain looking Italian joint, however don't judge this book by its cover, they really do crush it. The warm octopus salad was an excellent Mediterranean starter and the sea salt branzino was a real winner as well. Tender, perfectly cooked fish with a slightly briny taste. Finally to finish the meal, I ordered the chocolate budino... similar to a chocolate mousse and a chocolate lover's dream. The sommelier, Rory helped us pick an excellent Italian Pinot Grigio (Venica) that our entire table raved about. Good times and a great meal!",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,"Dragged the wife here for either mothers day or her birthday or veterans day (Don't be fooled by my slacker exterior....I am one patriotic motherfu*ker)...I really don't remember, the important thing is the pork.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,"Great service from Gino Rindone, seriously authentic Italian fare. Great branzino, lasagne all nonna and the occasional white truffle special, not to be missed tossed with scrambled eggs or fettucini.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",1.0,,2,Lack of service...,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $11-30
                    ",5.0,,2,"So I am not new to this place, I came here a few times when it first opened a couple of years ago. The atmosphere was good and the service was great. I had lasagna the fist time and I was very disappointed with it, it tasted...oh it was tasteless. The second time, I figured I give it (the lasagna) another go, and it was still a big flop. For the third, and final try before giving up for good, I ordered a different dish and I found it to be ...bland. Seriously, at that point I would much rather wait one hour to be seated at any Olive garden restaurant, than eating here again.",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $31-60
                    ",5.0,,2,"Best Italian in LA. Hands down. Best staff in LA. Hands down. Warm, cozy, delicious. I would eat here every day if I could. Incredible spot. Here are my go to dishes:",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,Delicious Italian food in a small and intimate restaurant. ,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,Visits: 1st,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,"Small yet charming, rustic but with a touch of elegance, Angelini Osteria is ideal for both a date night spot or a casual rendezvous with a few friends. Either way, reservations are highly recommended due to its limited space and popularity in the LA scene. ",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,4.5 Stars for me!,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,"Excellent Italian restaurant with tasty and authentic food. Have been here several times and among other things tried chicken liver, grilled quail, risotto and branzino, all delicious! The restaurant is fairly small with limited space between the tables, which in a sense make the atmosphere. Service is perfectly ok and the wine list, mainly Italian wines, is fairly limited, but still very good. It is possible to sit outside when weather is ok. Love this place!",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",3.0,,2,"I had been wanting to try Angelini Osteria for some time now, so I invited my mother and her friend here for her bday. I'll tell you what I enjoyed most about Osteria: their excellent service, the elegant and simple decor, and their cappuccinos! The cappuccinos were ultra creamy, silky, rich and just delectable in every way.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $11-30
                    ",5.0,,2,I think this might actually be my first review ever but I couldn't resist because the experience was amazing. ,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",3.0,,2,"Maccheroni's fallen off a bit over the past year or so, and no, it's not just because they don't allow free corkage anymore (if I recall correctly, they charge a fee, now). By the way, shout out to Yelp for putting that on blast. If a place has free corkage and no ABC license there are two rules: ",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",5.0,,2,"Back a year later and this place is still as good as it gets! Came here for a quiet intimate dinner to celebrate my boyfriend's 30th birthday. We were seated in a cozy 4-top table. As soon as we were sat, service was very prompt. They opened our bottle of wine without any questions asked. There was crusty table bread for dipping with olive oil and vinegar. Now on to the stars of the show!",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",2.0,,2,"So disappointed. We totally got the short end of the stick tonight. First off right as we walked in an uber excited waiter jumped at us asking if we would be drinking alcohol. Let us breathe for a second, we just stepped foot into your restaurant! Apparently they don't have an alcohol license to serve on their patio so they warn you before being seated.",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",5.0,,2,Review in #Haiku:,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",2.0,,2,"My friends brought me here for my bday and, despite the amazing company, we had a pretty disappointing experience. What we thought was BYOB is no more. Four bottles and nowhere to consume them so they stayed under our table until we could bring em back home. They also don't currently serve alcohol in the main restaurant so I had the soberest dinner since I became of age. ",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",5.0,,2,Hand-made pastas for $10+?! THIS IS HEAVEN!,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,"Came here for my birthday Saturday night with a group of 9 people. They don't take reservations, so we waited about 45 minutes. There are two different sides of the restaurant, the bigger side with a cute outdoor patio which doesn't serve alcohol and the smaller side which does. ",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",2.0,,2,"I can not believe this place is rated so high. It is new.. I understand that. It's located in the sketchiest of neighborhoods. Even the Mc Donald's next door is closed in the evenings.. and parking is about $5 nearby. Oh and they have some Mexican bridal shop where you can purchase a dress with embroidered horse heads.. so yes, it's probably not the nicest of dt neighborhoods.",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,I FINALLY made it to Maccheroni Republic.,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,There are a few places that I reserve my calories for. And I don't mean this in a shallow way (as in LA girl watching her figure). What I mean is life is too short to eat bad food.,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $31-60
                    ",5.0,,2,EAT ALL THE FOOD!,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,Best. Italian place. EVER.,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,"I cannot believe I never wrote a review for this place! (but then again, I've been a lazy Yelper recently!)",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,"The artichoke appetizer was absolutely delishious one of the best dishes I have had equally delishious was the zuccini blossoms. My husbsnd said the lasagna was the best he has had in Los Angeles. The Panna Cotta was fantastic the apple tart not so good, bland nothing special. The bread basket was the biggest dissapointmrnt just very unremarkable no taste usually I can eat an entire bread basket but I tried one bite of each kind of bread, all tasteless. But the food was amazing I will definitly return.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,"Went here for dinner to this much hyped-about restaurant. I wanted to give it 5 stars, but alas, it will only get 4.5. Dont get me wrong, this place was really good, but its expectation the bar i was comparing it to was set pretty high. For instance, our reservation was for 7:30, we prob disnt get seated til 7:45pm. ",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,2/16/14 Dinner,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,Yay! I'm a fan!,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,Make reservations because this is a small restaurant. The hostess was kind enough to accommodate us walk-ins. She's fab!!,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,"I like experience, and experience likes me. Wonderful food, but experience it is not. A simple, but elegant room, one square, with a ever so small outdoor patio which has 6 tables, if generous.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,"Wow wow wow. Some of the best Italian food I have had in la!! Only negative is really small, cramped and loud place. Also, quite pricey but quality is key. The free bread in beginning is addicting. Shared the prosciutto pizza and famous lasagna. The lasagna was literally to die for! Like last supper good! The pizza was perfectly cooked and tasty, as well! Nom nom more please!",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",3.0,,2,"it's been nearly two years since i've been to AO. Primarily b/c it is too expensive and we eat with our two young kids. Well last night, we went out with another couple so I thought we can go back to a place that I think is the top italian restaurant in town.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $11-30
                    ",1.0,,2,"We love this place.  But for some reason the moon and the stars were wrong here tonight. They served us a runny, runny polenta. After a thoughtful conversation, the waiter, who was very poised and kind, returned and acknowledged that the kitchen staff agreed it was wrong. Then it got weird. In the middle of our meal, fork in my mouth, the host, wearing a black windbreaker and security cap interrupted saying, ""If you do me a favor, I'll buy you dessert."" He asked us to move to another table so they could push our table together to seat a party of 5. Then even more strangely, he returned saying ""if you're not comfortable..."" ",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",3.0,,2,"I came here with a business associate after a biz gig. The event had some weak appetizers like mini-quiche, egg rolls, and sausage in phyllo dough: We were hungry! Maccheroni Republic is on Broadway near 4th, across from Grand Central Market.",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,DEE-LISHH-UUUUS!!!,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",5.0,,2,"Suchhhhhhh a pretty place for a hole in the wall restaurant that's next to a McDonalds. I would've never guessed such a nice restaurant would be here. When you're inside, you feel so fancy~ They have nice hanging lights outside and heat lamps. Perfect for date night or dinner with friends.",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,"For all the reviews below saying how sketch the neighborhood is.... It is called GENTRIFICATION. DTLA is going through a huge renaissance and yes, you will see old v. new. Whether you're in South Park near Staples or whether you're on Bunker / Historic Core, expect it. New businesses will be built either in new buildings or through adapative re-use/restoration because that is just how the infrastructure is set up for this city. Sorry, this area is not a commercial suburb of the OC or the Valley. ",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,They've brought the BYOB back (w/ a $5 corkage fee)!,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",5.0,,2,"I've been here twice before and I fall in love with it all over again with each visit. It's in downtown LA, so parking is obviously limited. There's a parking garage on the corner of 4th and Broadway for $5.50 flat that I usually go to. Like most people say, the entrance is hidden in the side so you might miss it. But I secretly wish no one knew about it so there's no wait. With that in mind, we arrived half an hour to try to get tables. I came here with a party of 8 so I knew it would take awhile.",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,ATTENTION Yelpers: They no longer have the bring-your-own-alcohol/no corkage fee option!! (They had that option revoked on 10/18),4.0,799.0,"
        Maccheroni Republic
    "
"
                        $31-60
                    ",5.0,,2,"Got the Branzino, White Truffle Veal Ravioli, and fried Octopus. Everything was perfect, especially the Ravioli and Branzino. Branzino has a bright fresh taste and is prepared perfectly with salt and crunchy veggies. Also a great meal for the price.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",4.0,,2,Came here for an anniversary with my boyfriend and everything exceeded my expectations!,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",5.0,,2,"I realized last night that not having the Uni Pasta at Angelini Osteria makes me a very sad camper. I mean, the place was only open for 4 hours. But, by the time 7pm rolled around, so many customers had requested it, that the Uni Pasta was - FINITO. What a bummer, cause it's my favorite pasta dish here, I told my favorite host Gino.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",2.0,,2,I almost feel wrong giving the place 3 stars. It seems like people love the place.,4.5,1048.0,"
        Angelini Osteria
    "
"
                        $31-60
                    ",3.0,,2,"I was really really excited to try the pasta here, especially the Lasagna Verde, since Giada de Laurentiis raved about it on The Best Thing I Ever Ate.",4.5,1048.0,"
        Angelini Osteria
    "
"
                        $11-30
                    ",3.0,,2,Walked into Maccheroni Republic and sat on the patio. The front didn't say if we were supposed to wait to be seated so we sat at our table for awhile until a snooty server plunked menus onto the table. ,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",5.0,,2,"Second time I've been to Maccheroni, and both times, I had an amazing dinner at a very reasonable price. I dined here on Saturday with a couple of friends, and both thought the food here was wonderful as well -- a great find one of my friends proclaimed.",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",3.0,,2,Our waiter messaged me after reading the review i gave here on Yelp and apologized for the service that night. He offered us a complimentary dessert if we come back.,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",2.0,,2,"I really wanted to like this random cute hidden restaurant next to McDonalds, but the food was a little disappointing. I ordered the Wild Boar Ragout and the pasta was completely stuck together so I was just eating a giant layer of pasta. The meat was also dry and tough to eat. We also ordered the bruschetta which was disappointing. The bread was soggy from olive oil and everything was just plopped on. Maybe it was just an off night?",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",5.0,,2,"Maccheroni Republic is a great date spot or a place to have a nice meal with good friends/family. It's intimate, has great service, and has a chill atmosphere. My favorite thing about this place is that the pasta is homemade, and it is seriously the best pasta I've ever had. ",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,First tip: Don't park in the parking lot next to it because they charge you $5. Plenty of street parking around the block that lets you park for free after 8PM. ,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",3.0,,2,"No reservations and waited about 20 minutes for inside seating on a Wednesday.. not too bad. Downside is that they only serve alcohol inside, which is really weird. Is that a law or something? Anyways...",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",1.0,,2,I don't understand why so many positive reviews. ,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",5.0,,2,Maccheroni Republic was so good!,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,"I came here for my birthday dinner, seeing as this was one of the more popular Italian choices in Downtown. ",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",5.0,,2,"This is one of my favorite restaurants in Los Angeles. I first went when I heard there was no corkage fee, but the awesome staff and great food has kept me coming back for months. The space is a little small so it's best for parties of four or less, and it's close to a Metro stop which is really convenient.",4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,Solid 4 stars. ,4.0,799.0,"
        Maccheroni Republic
    "
"
                        $11-30
                    ",4.0,,2,"It's a cute little restaurant in Downtown! Very romantic, but does not take reservations. Rule of thumb, you either come here early or be patient. ",4.0,799.0,"
        Maccheroni Republic
    "
